"Town","FIPS","Year","Foreclosure","Measure Type","Variable","Value"
"Montville","0901148900","2014","Total Foreclosures","Number","Foreclosures","22"
"Montville","0901148900","2015","Lis Penden Filings","Number","Foreclosures","70"
"Montville","0901148900","2015","Total Foreclosures","Number","Foreclosures","0"
"Montville","0901148900","2016","Lis Penden Filings","Number","Foreclosures","62"
"Montville","0901148900","2016","Total Foreclosures","Number","Foreclosures","8"
"Morris","0900549460","2008","Lis Penden Filings","Number","Foreclosures","9"
"Morris","0900549460","2008","Total Foreclosures","Number","Foreclosures","1"
"Morris","0900549460","2009","Lis Penden Filings","Number","Foreclosures","11"
"Morris","0900549460","2009","Total Foreclosures","Number","Foreclosures","5"
"Morris","0900549460","2010","Lis Penden Filings","Number","Foreclosures","16"
"Morris","0900549460","2010","Total Foreclosures","Number","Foreclosures","1"
"Morris","0900549460","2011","Lis Penden Filings","Number","Foreclosures","4"
"Morris","0900549460","2011","Total Foreclosures","Number","Foreclosures","3"
"Morris","0900549460","2012","Lis Penden Filings","Number","Foreclosures","8"
"Morris","0900549460","2012","Total Foreclosures","Number","Foreclosures","2"
"Morris","0900549460","2013","Lis Penden Filings","Number","Foreclosures","12"
"Morris","0900549460","2013","Total Foreclosures","Number","Foreclosures","1"
"Morris","0900549460","2014","Lis Penden Filings","Number","Foreclosures","22"
"Morris","0900549460","2014","Total Foreclosures","Number","Foreclosures","21"
"Morris","0900549460","2015","Lis Penden Filings","Number","Foreclosures","6"
"Morris","0900549460","2015","Total Foreclosures","Number","Foreclosures","0"
"Morris","0900549460","2016","Lis Penden Filings","Number","Foreclosures","3"
"Morris","0900549460","2016","Total Foreclosures","Number","Foreclosures","1"
"Naugatuck","0900949950","2008","Lis Penden Filings","Number","Foreclosures","196"
"Naugatuck","0900949950","2008","Total Foreclosures","Number","Foreclosures","48"
"Naugatuck","0900949950","2009","Lis Penden Filings","Number","Foreclosures","331"
"Naugatuck","0900949950","2009","Total Foreclosures","Number","Foreclosures","77"
"Naugatuck","0900949950","2010","Lis Penden Filings","Number","Foreclosures","326"
"Naugatuck","0900949950","2010","Total Foreclosures","Number","Foreclosures","101"
"Naugatuck","0900949950","2011","Lis Penden Filings","Number","Foreclosures","168"
"Naugatuck","0900949950","2011","Total Foreclosures","Number","Foreclosures","44"
"Naugatuck","0900949950","2012","Lis Penden Filings","Number","Foreclosures","245"
"Naugatuck","0900949950","2012","Total Foreclosures","Number","Foreclosures","76"
"Naugatuck","0900949950","2013","Lis Penden Filings","Number","Foreclosures","287"
"Naugatuck","0900949950","2013","Total Foreclosures","Number","Foreclosures","63"
"Naugatuck","0900949950","2014","Lis Penden Filings","Number","Foreclosures","68"
"Naugatuck","0900949950","2014","Total Foreclosures","Number","Foreclosures","109"
"Naugatuck","0900949950","2015","Lis Penden Filings","Number","Foreclosures","114"
"Naugatuck","0900949950","2015","Total Foreclosures","Number","Foreclosures","36"
"Naugatuck","0900949950","2016","Lis Penden Filings","Number","Foreclosures","156"
"Naugatuck","0900949950","2016","Total Foreclosures","Number","Foreclosures","84"
"New Britain","0900350440","2008","Lis Penden Filings","Number","Foreclosures","410"
"New Britain","0900350440","2008","Total Foreclosures","Number","Foreclosures","164"
"New Britain","0900350440","2009","Lis Penden Filings","Number","Foreclosures","565"
"New Britain","0900350440","2009","Total Foreclosures","Number","Foreclosures","171"
"New Britain","0900350440","2010","Lis Penden Filings","Number","Foreclosures","574"
"New Britain","0900350440","2010","Total Foreclosures","Number","Foreclosures","193"
"New Britain","0900350440","2011","Lis Penden Filings","Number","Foreclosures","287"
"New Britain","0900350440","2011","Total Foreclosures","Number","Foreclosures","78"
"New Britain","0900350440","2012","Lis Penden Filings","Number","Foreclosures","434"
"New Britain","0900350440","2012","Total Foreclosures","Number","Foreclosures","138"
"New Britain","0900350440","2013","Lis Penden Filings","Number","Foreclosures","437"
"New Britain","0900350440","2013","Total Foreclosures","Number","Foreclosures","173"
"New Britain","0900350440","2014","Lis Penden Filings","Number","Foreclosures","37"
"New Britain","0900350440","2014","Total Foreclosures","Number","Foreclosures","177"
"New Britain","0900350440","2015","Lis Penden Filings","Number","Foreclosures","215"
"New Britain","0900350440","2015","Total Foreclosures","Number","Foreclosures","92"
"New Britain","0900350440","2016","Lis Penden Filings","Number","Foreclosures","265"
"New Britain","0900350440","2016","Total Foreclosures","Number","Foreclosures","31"
"New Canaan","0900150580","2008","Lis Penden Filings","Number","Foreclosures","28"
"New Canaan","0900150580","2008","Total Foreclosures","Number","Foreclosures","6"
"New Canaan","0900150580","2009","Lis Penden Filings","Number","Foreclosures","74"
"New Canaan","0900150580","2009","Total Foreclosures","Number","Foreclosures","5"
"New Canaan","0900150580","2010","Lis Penden Filings","Number","Foreclosures","54"
"New Canaan","0900150580","2010","Total Foreclosures","Number","Foreclosures","13"
"New Canaan","0900150580","2011","Lis Penden Filings","Number","Foreclosures","27"
"New Canaan","0900150580","2011","Total Foreclosures","Number","Foreclosures","6"
"New Canaan","0900150580","2012","Lis Penden Filings","Number","Foreclosures","40"
"New Canaan","0900150580","2012","Total Foreclosures","Number","Foreclosures","6"
"New Canaan","0900150580","2013","Lis Penden Filings","Number","Foreclosures","50"
"New Canaan","0900150580","2013","Total Foreclosures","Number","Foreclosures","6"
"New Canaan","0900150580","2014","Lis Penden Filings","Number","Foreclosures","41"
"New Canaan","0900150580","2014","Total Foreclosures","Number","Foreclosures","7"
"New Canaan","0900150580","2015","Lis Penden Filings","Number","Foreclosures","18"
"New Canaan","0900150580","2015","Total Foreclosures","Number","Foreclosures","10"
"New Canaan","0900150580","2016","Lis Penden Filings","Number","Foreclosures","32"
"New Canaan","0900150580","2016","Total Foreclosures","Number","Foreclosures","7"
"New Fairfield","0900150860","2008","Lis Penden Filings","Number","Foreclosures","52"
"New Fairfield","0900150860","2008","Total Foreclosures","Number","Foreclosures","14"
"New Fairfield","0900150860","2009","Lis Penden Filings","Number","Foreclosures","80"
"New Fairfield","0900150860","2009","Total Foreclosures","Number","Foreclosures","12"
"New Fairfield","0900150860","2010","Lis Penden Filings","Number","Foreclosures","72"
"New Fairfield","0900150860","2010","Total Foreclosures","Number","Foreclosures","22"
"New Fairfield","0900150860","2011","Lis Penden Filings","Number","Foreclosures","40"
"New Fairfield","0900150860","2011","Total Foreclosures","Number","Foreclosures","12"
"New Fairfield","0900150860","2012","Lis Penden Filings","Number","Foreclosures","54"
"New Fairfield","0900150860","2012","Total Foreclosures","Number","Foreclosures","16"
"New Fairfield","0900150860","2013","Lis Penden Filings","Number","Foreclosures","73"
"New Fairfield","0900150860","2013","Total Foreclosures","Number","Foreclosures","17"
"New Fairfield","0900150860","2014","Lis Penden Filings","Number","Foreclosures","27"
"New Fairfield","0900150860","2014","Total Foreclosures","Number","Foreclosures","51"
"New Fairfield","0900150860","2015","Lis Penden Filings","Number","Foreclosures","40"
"New Fairfield","0900150860","2015","Total Foreclosures","Number","Foreclosures","6"
"New Fairfield","0900150860","2016","Lis Penden Filings","Number","Foreclosures","58"
"New Fairfield","0900150860","2016","Total Foreclosures","Number","Foreclosures","19"
"New Hartford","0900551350","2008","Lis Penden Filings","Number","Foreclosures","25"
"New Hartford","0900551350","2008","Total Foreclosures","Number","Foreclosures","3"
"New Hartford","0900551350","2009","Lis Penden Filings","Number","Foreclosures","29"
"New Hartford","0900551350","2009","Total Foreclosures","Number","Foreclosures","13"
"New Hartford","0900551350","2010","Lis Penden Filings","Number","Foreclosures","25"
"New Hartford","0900551350","2010","Total Foreclosures","Number","Foreclosures","8"
"New Hartford","0900551350","2011","Lis Penden Filings","Number","Foreclosures","18"
"New Hartford","0900551350","2011","Total Foreclosures","Number","Foreclosures","1"
"New Hartford","0900551350","2012","Lis Penden Filings","Number","Foreclosures","11"
"New Hartford","0900551350","2012","Total Foreclosures","Number","Foreclosures","9"
"New Hartford","0900551350","2013","Lis Penden Filings","Number","Foreclosures","16"
"New Hartford","0900551350","2013","Total Foreclosures","Number","Foreclosures","4"
"New Hartford","0900551350","2014","Lis Penden Filings","Number","Foreclosures","83"
"New Hartford","0900551350","2014","Total Foreclosures","Number","Foreclosures","17"
"New Hartford","0900551350","2015","Lis Penden Filings","Number","Foreclosures","13"
"New Hartford","0900551350","2015","Total Foreclosures","Number","Foreclosures","2"
"New Hartford","0900551350","2016","Lis Penden Filings","Number","Foreclosures","22"
"New Hartford","0900551350","2016","Total Foreclosures","Number","Foreclosures","3"
"New Haven","0900952070","2008","Lis Penden Filings","Number","Foreclosures","714"
"New Haven","0900952070","2008","Total Foreclosures","Number","Foreclosures","368"
"New Haven","0900952070","2009","Lis Penden Filings","Number","Foreclosures","1125"
"New Haven","0900952070","2009","Total Foreclosures","Number","Foreclosures","333"
"New Haven","0900952070","2010","Lis Penden Filings","Number","Foreclosures","829"
"New Haven","0900952070","2010","Total Foreclosures","Number","Foreclosures","374"
"New Haven","0900952070","2011","Lis Penden Filings","Number","Foreclosures","503"
"New Haven","0900952070","2011","Total Foreclosures","Number","Foreclosures","150"
"New Haven","0900952070","2012","Lis Penden Filings","Number","Foreclosures","920"
"New Haven","0900952070","2012","Total Foreclosures","Number","Foreclosures","244"
"New Haven","0900952070","2013","Lis Penden Filings","Number","Foreclosures","773"
"New Haven","0900952070","2013","Total Foreclosures","Number","Foreclosures","183"
"New Haven","0900952070","2014","Lis Penden Filings","Number","Foreclosures","33"
"New Haven","0900952070","2014","Total Foreclosures","Number","Foreclosures","243"
"New Haven","0900952070","2015","Lis Penden Filings","Number","Foreclosures","606"
"New Haven","0900952070","2015","Total Foreclosures","Number","Foreclosures","372"
"New Haven","0900952070","2016","Lis Penden Filings","Number","Foreclosures","480"
"New Haven","0900952070","2016","Total Foreclosures","Number","Foreclosures","49"
"Newington","0900352140","2008","Lis Penden Filings","Number","Foreclosures","118"
"Newington","0900352140","2008","Total Foreclosures","Number","Foreclosures","38"
"Newington","0900352140","2009","Lis Penden Filings","Number","Foreclosures","143"
"Newington","0900352140","2009","Total Foreclosures","Number","Foreclosures","31"
"Newington","0900352140","2010","Lis Penden Filings","Number","Foreclosures","148"
"Newington","0900352140","2010","Total Foreclosures","Number","Foreclosures","30"
"Newington","0900352140","2011","Lis Penden Filings","Number","Foreclosures","50"
"Newington","0900352140","2011","Total Foreclosures","Number","Foreclosures","10"
"Newington","0900352140","2012","Lis Penden Filings","Number","Foreclosures","27"
"Newington","0900352140","2012","Total Foreclosures","Number","Foreclosures","1"
"Newington","0900352140","2013","Lis Penden Filings","Number","Foreclosures","25"
"Newington","0900352140","2013","Total Foreclosures","Number","Foreclosures","3"
"Newington","0900352140","2014","Lis Penden Filings","Number","Foreclosures","49"
"Newington","0900352140","2014","Total Foreclosures","Number","Foreclosures","4"
"Newington","0900352140","2015","Lis Penden Filings","Number","Foreclosures","39"
"Newington","0900352140","2015","Total Foreclosures","Number","Foreclosures","0"
"Newington","0900352140","2016","Lis Penden Filings","Number","Foreclosures","64"
"Newington","0900352140","2016","Total Foreclosures","Number","Foreclosures","12"
"New London","0901152350","2008","Lis Penden Filings","Number","Foreclosures","158"
"New London","0901152350","2008","Total Foreclosures","Number","Foreclosures","154"
"New London","0901152350","2009","Lis Penden Filings","Number","Foreclosures","215"
"New London","0901152350","2009","Total Foreclosures","Number","Foreclosures","81"
"New London","0901152350","2010","Lis Penden Filings","Number","Foreclosures","168"
"New London","0901152350","2010","Total Foreclosures","Number","Foreclosures","69"
"New London","0901152350","2011","Lis Penden Filings","Number","Foreclosures","95"
"New London","0901152350","2011","Total Foreclosures","Number","Foreclosures","24"
"New London","0901152350","2012","Lis Penden Filings","Number","Foreclosures","133"
"New London","0901152350","2012","Total Foreclosures","Number","Foreclosures","54"
"New London","0901152350","2013","Lis Penden Filings","Number","Foreclosures","163"
"New London","0901152350","2013","Total Foreclosures","Number","Foreclosures","37"
"New London","0901152350","2014","Lis Penden Filings","Number","Foreclosures","21"
"New London","0901152350","2014","Total Foreclosures","Number","Foreclosures","47"
"New London","0901152350","2015","Lis Penden Filings","Number","Foreclosures","124"
"New London","0901152350","2015","Total Foreclosures","Number","Foreclosures","62"
"New London","0901152350","2016","Lis Penden Filings","Number","Foreclosures","115"
"New London","0901152350","2016","Total Foreclosures","Number","Foreclosures","53"
"New Milford","0900552630","2008","Lis Penden Filings","Number","Foreclosures","188"
"New Milford","0900552630","2008","Total Foreclosures","Number","Foreclosures","50"
"New Milford","0900552630","2009","Lis Penden Filings","Number","Foreclosures","315"
"New Milford","0900552630","2009","Total Foreclosures","Number","Foreclosures","62"
"New Milford","0900552630","2010","Lis Penden Filings","Number","Foreclosures","285"
"New Milford","0900552630","2010","Total Foreclosures","Number","Foreclosures","91"
"New Milford","0900552630","2011","Lis Penden Filings","Number","Foreclosures","160"
"New Milford","0900552630","2011","Total Foreclosures","Number","Foreclosures","45"
"New Milford","0900552630","2012","Lis Penden Filings","Number","Foreclosures","168"
"New Milford","0900552630","2012","Total Foreclosures","Number","Foreclosures","54"
"New Milford","0900552630","2013","Lis Penden Filings","Number","Foreclosures","245"
"New Milford","0900552630","2013","Total Foreclosures","Number","Foreclosures","54"
"New Milford","0900552630","2014","Lis Penden Filings","Number","Foreclosures","83"
"New Milford","0900552630","2014","Total Foreclosures","Number","Foreclosures","79"
"New Milford","0900552630","2015","Lis Penden Filings","Number","Foreclosures","58"
"New Milford","0900552630","2015","Total Foreclosures","Number","Foreclosures","0"
"New Milford","0900552630","2016","Lis Penden Filings","Number","Foreclosures","110"
"New Milford","0900552630","2016","Total Foreclosures","Number","Foreclosures","10"
"Newtown","0900152980","2008","Lis Penden Filings","Number","Foreclosures","75"
"Newtown","0900152980","2008","Total Foreclosures","Number","Foreclosures","19"
"Newtown","0900152980","2009","Lis Penden Filings","Number","Foreclosures","148"
"Newtown","0900152980","2009","Total Foreclosures","Number","Foreclosures","16"
"Newtown","0900152980","2010","Lis Penden Filings","Number","Foreclosures","137"
"Newtown","0900152980","2010","Total Foreclosures","Number","Foreclosures","31"
"Newtown","0900152980","2011","Lis Penden Filings","Number","Foreclosures","73"
"Newtown","0900152980","2011","Total Foreclosures","Number","Foreclosures","14"
"Newtown","0900152980","2012","Lis Penden Filings","Number","Foreclosures","142"
"Newtown","0900152980","2012","Total Foreclosures","Number","Foreclosures","18"
"Newtown","0900152980","2013","Lis Penden Filings","Number","Foreclosures","176"
"Newtown","0900152980","2013","Total Foreclosures","Number","Foreclosures","7"
"Newtown","0900152980","2014","Lis Penden Filings","Number","Foreclosures","49"
"Newtown","0900152980","2014","Total Foreclosures","Number","Foreclosures","39"
"Newtown","0900152980","2015","Lis Penden Filings","Number","Foreclosures","41"
"Newtown","0900152980","2015","Total Foreclosures","Number","Foreclosures","33"
"Newtown","0900152980","2016","Lis Penden Filings","Number","Foreclosures","89"
"Newtown","0900152980","2016","Total Foreclosures","Number","Foreclosures","9"
"Norfolk","0900553470","2008","Lis Penden Filings","Number","Foreclosures","6"
"Norfolk","0900553470","2008","Total Foreclosures","Number","Foreclosures","2"
"Norfolk","0900553470","2009","Lis Penden Filings","Number","Foreclosures","7"
"Norfolk","0900553470","2009","Total Foreclosures","Number","Foreclosures","3"
"Norfolk","0900553470","2010","Lis Penden Filings","Number","Foreclosures","12"
"Norfolk","0900553470","2010","Total Foreclosures","Number","Foreclosures","4"
"Norfolk","0900553470","2011","Lis Penden Filings","Number","Foreclosures","2"
"Norfolk","0900553470","2011","Total Foreclosures","Number","Foreclosures","3"
"Norfolk","0900553470","2012","Lis Penden Filings","Number","Foreclosures","9"
"Norfolk","0900553470","2012","Total Foreclosures","Number","Foreclosures","1"
"Norfolk","0900553470","2013","Lis Penden Filings","Number","Foreclosures","11"
"Norfolk","0900553470","2013","Total Foreclosures","Number","Foreclosures","2"
"Norfolk","0900553470","2014","Lis Penden Filings","Number","Foreclosures","173"
"Norfolk","0900553470","2014","Total Foreclosures","Number","Foreclosures","7"
"Norfolk","0900553470","2015","Lis Penden Filings","Number","Foreclosures","3"
"Norfolk","0900553470","2015","Total Foreclosures","Number","Foreclosures","15"
"Norfolk","0900553470","2016","Lis Penden Filings","Number","Foreclosures","11"
"Norfolk","0900553470","2016","Total Foreclosures","Number","Foreclosures","5"
"North Branford","0900953890","2008","Lis Penden Filings","Number","Foreclosures","55"
"North Branford","0900953890","2008","Total Foreclosures","Number","Foreclosures","15"
"North Branford","0900953890","2009","Lis Penden Filings","Number","Foreclosures","87"
"North Branford","0900953890","2009","Total Foreclosures","Number","Foreclosures","16"
"North Branford","0900953890","2010","Lis Penden Filings","Number","Foreclosures","63"
"North Branford","0900953890","2010","Total Foreclosures","Number","Foreclosures","14"
"North Branford","0900953890","2011","Lis Penden Filings","Number","Foreclosures","40"
"North Branford","0900953890","2011","Total Foreclosures","Number","Foreclosures","8"
"North Branford","0900953890","2012","Lis Penden Filings","Number","Foreclosures","46"
"North Branford","0900953890","2012","Total Foreclosures","Number","Foreclosures","10"
"North Branford","0900953890","2013","Lis Penden Filings","Number","Foreclosures","79"
"North Branford","0900953890","2013","Total Foreclosures","Number","Foreclosures","2"
"North Branford","0900953890","2014","Lis Penden Filings","Number","Foreclosures","61"
"North Branford","0900953890","2014","Total Foreclosures","Number","Foreclosures","0"
"North Branford","0900953890","2015","Lis Penden Filings","Number","Foreclosures","41"
"North Branford","0900953890","2015","Total Foreclosures","Number","Foreclosures","0"
"North Branford","0900953890","2016","Lis Penden Filings","Number","Foreclosures","81"
"North Branford","0900953890","2016","Total Foreclosures","Number","Foreclosures","6"
"North Canaan","0900554030","2008","Lis Penden Filings","Number","Foreclosures","14"
"North Canaan","0900554030","2008","Total Foreclosures","Number","Foreclosures","5"
"North Canaan","0900554030","2009","Lis Penden Filings","Number","Foreclosures","15"
"North Canaan","0900554030","2009","Total Foreclosures","Number","Foreclosures","6"
"North Canaan","0900554030","2010","Lis Penden Filings","Number","Foreclosures","12"
"North Canaan","0900554030","2010","Total Foreclosures","Number","Foreclosures","4"
"North Canaan","0900554030","2011","Lis Penden Filings","Number","Foreclosures","11"
"North Canaan","0900554030","2011","Total Foreclosures","Number","Foreclosures","4"
"North Canaan","0900554030","2012","Lis Penden Filings","Number","Foreclosures","13"
"North Canaan","0900554030","2012","Total Foreclosures","Number","Foreclosures","3"
"North Canaan","0900554030","2013","Lis Penden Filings","Number","Foreclosures","13"
"North Canaan","0900554030","2013","Total Foreclosures","Number","Foreclosures","8"
"North Canaan","0900554030","2014","Lis Penden Filings","Number","Foreclosures","50"
"North Canaan","0900554030","2014","Total Foreclosures","Number","Foreclosures","1"
"North Canaan","0900554030","2015","Lis Penden Filings","Number","Foreclosures","13"
"North Canaan","0900554030","2015","Total Foreclosures","Number","Foreclosures","12"
"North Canaan","0900554030","2016","Lis Penden Filings","Number","Foreclosures","12"
"North Canaan","0900554030","2016","Total Foreclosures","Number","Foreclosures","4"
"North Haven","0900954870","2008","Lis Penden Filings","Number","Foreclosures","83"
"North Haven","0900954870","2008","Total Foreclosures","Number","Foreclosures","22"
"North Haven","0900954870","2009","Lis Penden Filings","Number","Foreclosures","167"
"North Haven","0900954870","2009","Total Foreclosures","Number","Foreclosures","21"
"North Haven","0900954870","2010","Lis Penden Filings","Number","Foreclosures","93"
"North Haven","0900954870","2010","Total Foreclosures","Number","Foreclosures","28"
"North Haven","0900954870","2011","Lis Penden Filings","Number","Foreclosures","38"
"North Haven","0900954870","2011","Total Foreclosures","Number","Foreclosures","9"
"North Haven","0900954870","2012","Lis Penden Filings","Number","Foreclosures","84"
"North Haven","0900954870","2012","Total Foreclosures","Number","Foreclosures","17"
"North Haven","0900954870","2013","Lis Penden Filings","Number","Foreclosures","93"
"North Haven","0900954870","2013","Total Foreclosures","Number","Foreclosures","16"
"North Haven","0900954870","2014","Lis Penden Filings","Number","Foreclosures","67"
"North Haven","0900954870","2014","Total Foreclosures","Number","Foreclosures","38"
"North Haven","0900954870","2015","Lis Penden Filings","Number","Foreclosures","78"
"North Haven","0900954870","2015","Total Foreclosures","Number","Foreclosures","16"
"North Haven","0900954870","2016","Lis Penden Filings","Number","Foreclosures","76"
"North Haven","0900954870","2016","Total Foreclosures","Number","Foreclosures","24"
"North Stonington","0901155500","2008","Lis Penden Filings","Number","Foreclosures","23"
"North Stonington","0901155500","2008","Total Foreclosures","Number","Foreclosures","7"
"North Stonington","0901155500","2009","Lis Penden Filings","Number","Foreclosures","45"
"North Stonington","0901155500","2009","Total Foreclosures","Number","Foreclosures","13"
"North Stonington","0901155500","2010","Lis Penden Filings","Number","Foreclosures","33"
"North Stonington","0901155500","2010","Total Foreclosures","Number","Foreclosures","11"
"North Stonington","0901155500","2011","Lis Penden Filings","Number","Foreclosures","24"
"North Stonington","0901155500","2011","Total Foreclosures","Number","Foreclosures","0"
"North Stonington","0901155500","2012","Lis Penden Filings","Number","Foreclosures","27"
"North Stonington","0901155500","2012","Total Foreclosures","Number","Foreclosures","5"
"North Stonington","0901155500","2013","Lis Penden Filings","Number","Foreclosures","45"
"North Stonington","0901155500","2013","Total Foreclosures","Number","Foreclosures","10"
"North Stonington","0901155500","2014","Lis Penden Filings","Number","Foreclosures","69"
"North Stonington","0901155500","2014","Total Foreclosures","Number","Foreclosures","33"
"North Stonington","0901155500","2015","Lis Penden Filings","Number","Foreclosures","28"
"North Stonington","0901155500","2015","Total Foreclosures","Number","Foreclosures","10"
"North Stonington","0901155500","2016","Lis Penden Filings","Number","Foreclosures","16"
"North Stonington","0901155500","2016","Total Foreclosures","Number","Foreclosures","7"
"Norwalk","0900156060","2008","Lis Penden Filings","Number","Foreclosures","358"
"Norwalk","0900156060","2008","Total Foreclosures","Number","Foreclosures","46"
"Norwalk","0900156060","2009","Lis Penden Filings","Number","Foreclosures","687"
"Norwalk","0900156060","2009","Total Foreclosures","Number","Foreclosures","105"
"Norwalk","0900156060","2010","Lis Penden Filings","Number","Foreclosures","588"
"Norwalk","0900156060","2010","Total Foreclosures","Number","Foreclosures","138"
"Norwalk","0900156060","2011","Lis Penden Filings","Number","Foreclosures","286"
"Norwalk","0900156060","2011","Total Foreclosures","Number","Foreclosures","33"
"Norwalk","0900156060","2012","Lis Penden Filings","Number","Foreclosures","386"
"Norwalk","0900156060","2012","Total Foreclosures","Number","Foreclosures","55"
"Norwalk","0900156060","2013","Lis Penden Filings","Number","Foreclosures","439"
"Norwalk","0900156060","2013","Total Foreclosures","Number","Foreclosures","61"
"Norwalk","0900156060","2014","Lis Penden Filings","Number","Foreclosures","122"
"Norwalk","0900156060","2014","Total Foreclosures","Number","Foreclosures","81"
"Norwalk","0900156060","2015","Lis Penden Filings","Number","Foreclosures","250"
"Norwalk","0900156060","2015","Total Foreclosures","Number","Foreclosures","48"
"Norwalk","0900156060","2016","Lis Penden Filings","Number","Foreclosures","281"
"Norwalk","0900156060","2016","Total Foreclosures","Number","Foreclosures","76"
"Norwich","0901156270","2008","Lis Penden Filings","Number","Foreclosures","240"
"Norwich","0901156270","2008","Total Foreclosures","Number","Foreclosures","71"
"Norwich","0901156270","2009","Lis Penden Filings","Number","Foreclosures","320"
"Norwich","0901156270","2009","Total Foreclosures","Number","Foreclosures","99"
"Norwich","0901156270","2010","Lis Penden Filings","Number","Foreclosures","355"
"Norwich","0901156270","2010","Total Foreclosures","Number","Foreclosures","142"
"Norwich","0901156270","2011","Lis Penden Filings","Number","Foreclosures","204"
"Norwich","0901156270","2011","Total Foreclosures","Number","Foreclosures","54"
"Norwich","0901156270","2012","Lis Penden Filings","Number","Foreclosures","334"
"Norwich","0901156270","2012","Total Foreclosures","Number","Foreclosures","110"
"Norwich","0901156270","2013","Lis Penden Filings","Number","Foreclosures","321"
"Norwich","0901156270","2013","Total Foreclosures","Number","Foreclosures","104"
"Norwich","0901156270","2014","Lis Penden Filings","Number","Foreclosures","58"
"Norwich","0901156270","2014","Total Foreclosures","Number","Foreclosures","135"
"Norwich","0901156270","2015","Lis Penden Filings","Number","Foreclosures","185"
"Norwich","0901156270","2015","Total Foreclosures","Number","Foreclosures","59"
"Norwich","0901156270","2016","Lis Penden Filings","Number","Foreclosures","230"
"Norwich","0901156270","2016","Total Foreclosures","Number","Foreclosures","39"
"Old Lyme","0901157040","2008","Lis Penden Filings","Number","Foreclosures","14"
"Old Lyme","0901157040","2008","Total Foreclosures","Number","Foreclosures","1"
"Old Lyme","0901157040","2009","Lis Penden Filings","Number","Foreclosures","31"
"Old Lyme","0901157040","2009","Total Foreclosures","Number","Foreclosures","2"
"Old Lyme","0901157040","2010","Lis Penden Filings","Number","Foreclosures","26"
"Old Lyme","0901157040","2010","Total Foreclosures","Number","Foreclosures","3"
"Old Lyme","0901157040","2011","Lis Penden Filings","Number","Foreclosures","10"
"Old Lyme","0901157040","2011","Total Foreclosures","Number","Foreclosures","2"
"Old Lyme","0901157040","2012","Lis Penden Filings","Number","Foreclosures","24"
"Old Lyme","0901157040","2012","Total Foreclosures","Number","Foreclosures","3"
"Old Lyme","0901157040","2013","Lis Penden Filings","Number","Foreclosures","25"
"Old Lyme","0901157040","2013","Total Foreclosures","Number","Foreclosures","1"
"Old Lyme","0901157040","2014","Lis Penden Filings","Number","Foreclosures","76"
"Old Lyme","0901157040","2014","Total Foreclosures","Number","Foreclosures","2"
"Old Lyme","0901157040","2015","Lis Penden Filings","Number","Foreclosures","23"
"Old Lyme","0901157040","2015","Total Foreclosures","Number","Foreclosures","3"
"Old Lyme","0901157040","2016","Lis Penden Filings","Number","Foreclosures","22"
"Old Lyme","0901157040","2016","Total Foreclosures","Number","Foreclosures","1"
"Old Saybrook","0900757320","2008","Lis Penden Filings","Number","Foreclosures","26"
"Old Saybrook","0900757320","2008","Total Foreclosures","Number","Foreclosures","4"
"Old Saybrook","0900757320","2009","Lis Penden Filings","Number","Foreclosures","62"
"Old Saybrook","0900757320","2009","Total Foreclosures","Number","Foreclosures","3"
"Old Saybrook","0900757320","2010","Lis Penden Filings","Number","Foreclosures","43"
"Old Saybrook","0900757320","2010","Total Foreclosures","Number","Foreclosures","10"
"Old Saybrook","0900757320","2011","Lis Penden Filings","Number","Foreclosures","28"
"Old Saybrook","0900757320","2011","Total Foreclosures","Number","Foreclosures","1"
"Old Saybrook","0900757320","2012","Lis Penden Filings","Number","Foreclosures","40"
"Old Saybrook","0900757320","2012","Total Foreclosures","Number","Foreclosures","8"
"Old Saybrook","0900757320","2013","Lis Penden Filings","Number","Foreclosures","42"
"Old Saybrook","0900757320","2013","Total Foreclosures","Number","Foreclosures","1"
"Old Saybrook","0900757320","2014","Lis Penden Filings","Number","Foreclosures","71"
"Old Saybrook","0900757320","2014","Total Foreclosures","Number","Foreclosures","1"
"Old Saybrook","0900757320","2015","Lis Penden Filings","Number","Foreclosures","22"
"Old Saybrook","0900757320","2015","Total Foreclosures","Number","Foreclosures","1"
"Old Saybrook","0900757320","2016","Lis Penden Filings","Number","Foreclosures","25"
"Old Saybrook","0900757320","2016","Total Foreclosures","Number","Foreclosures","5"
"Orange","0900957600","2008","Lis Penden Filings","Number","Foreclosures","26"
"Orange","0900957600","2008","Total Foreclosures","Number","Foreclosures","6"
"Orange","0900957600","2009","Lis Penden Filings","Number","Foreclosures","48"
"Orange","0900957600","2009","Total Foreclosures","Number","Foreclosures","4"
"Orange","0900957600","2010","Lis Penden Filings","Number","Foreclosures","41"
"Orange","0900957600","2010","Total Foreclosures","Number","Foreclosures","5"
"Orange","0900957600","2011","Lis Penden Filings","Number","Foreclosures","18"
"Orange","0900957600","2011","Total Foreclosures","Number","Foreclosures","3"
"Orange","0900957600","2012","Lis Penden Filings","Number","Foreclosures","50"
"Orange","0900957600","2012","Total Foreclosures","Number","Foreclosures","7"
"Orange","0900957600","2013","Lis Penden Filings","Number","Foreclosures","49"
"Orange","0900957600","2013","Total Foreclosures","Number","Foreclosures","6"
