Lis Penden Filings,,,,,,,,,,,,,,Connecticut,
2011,,,,,,,,,,,,,,Sorted by Municipality,
,,,,Total,,,,Total,,,,Total,,Total,
Town Totals,,,,,,,,,,,,,,,
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,",
Salisbury 8,1,2,1,4,0,0,1,1,0,0,1,1,0,2 0 2,
Scotland 10,2,0,2,4,0,0,0,0,1,1,2,4,0,1 1 2,
Seymour 51,3,5,0,8,2,3,1,6,0,7,20,27,5,3 2 10,
Sharon 7,0,1,1,2,2,0,0,2,0,1,1,2,0,1 0 1,
Shelton 142,3,3,5,11,43,8,14,65,6,5,15,26,13,9 18 40,
Sherman 2,1,0,0,1,0,0,0,0,0,0,1,1,0,0 0 0,
Simsbury 46,3,4,4,11,9,6,4,19,4,2,7,13,0,0 3 3,
Somers 10,1,0,1,2,0,1,1,2,2,0,1,3,0,1 2 3,
South Windsor 40,10,4,2,16,1,1,0,2,3,2,5,10,1,2 9 12,
Southbury 48,1,2,4,7,6,5,6,17,7,4,3,14,0,4 6 10,
Southington 105,9,5,12,26,11,9,6,26,9,11,20,40,2,6 5 13,
Sprague 10,1,2,1,4,2,0,0,2,0,1,2,3,0,1 0 1,
Stafford 40,4,2,1,7,6,7,1,14,3,4,4,11,5,0 3 8,
Stamford 394,49,35,41,125,45,35,12,92,42,41,30,113,13,12 39 64,
Sterling 14,2,2,3,7,0,0,0,0,2,1,1,4,1,0 2 3,
Stonington 9,2,1,0,3,1,0,1,2,1,0,0,1,2,0 1 3,
Stratford 271,6,6,35,47,65,21,10,96,17,15,23,55,19,17 37 73,
Suffield 39,4,4,6,14,1,7,3,11,5,1,0,6,1,2 5 8,
Thomaston 27,3,2,5,10,0,2,1,3,0,2,10,12,0,2 0 2,
Thompson 37,1,1,4,6,1,3,5,9,3,2,9,14,1,1 6 8,
Tolland 32,3,6,2,11,3,2,1,6,5,2,3,10,0,1 4 5,
Torrington 160,7,16,15,38,10,13,13,36,9,8,33,50,11,11 14 36,
Trumbull 103,11,11,4,26,24,5,4,33,8,9,10,27,4,2 11 17,
Lis Penden Filings,,,,,,,,,,,,,,Connecticut,
2011,,,,,,,,,,,,,,Sorted by Municipality,
,,,,Total,,,,Total,,,,Total,,Total,
Town Totals,,,,,,,,,,,,,,,
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,",
2011,,,,,,,,,,,,,,,
,,,,2011,,,,2011,,,,2011,,2011,
Union 1,0,1,0,1,0,0,0,0,0,0,0,0,0,0 0 0,
Vernon 68,5,2,3,10,6,9,7,22,6,4,12,22,3,1 10 14,
Voluntown 13,1,0,3,4,0,0,1,1,2,1,1,4,2,1 1 4,
Wallingford 123,6,16,7,29,17,11,13,41,10,4,15,29,7,3 14 24,
Warren 2,1,0,0,1,0,0,0,0,0,0,0,0,1,0 0 1,
Washington 10,2,0,1,3,1,1,0,2,0,2,0,2,3,0 0 3,
Waterbury 619,39,82,47,168,67,32,60,159,34,46,86,166,26,33 67 126,
Waterford 54,2,5,5,12,9,5,4,18,4,3,5,12,6,2 4 12,
Watertown 59,3,9,2,14,9,10,2,21,4,4,4,12,2,3 7 12,
West Hartford 110,10,9,10,29,9,14,10,33,11,13,8,32,9,4 3 16,
West Haven 260,26,13,41,80,26,26,19,71,22,13,31,66,14,16 13 43,
Westbrook 35,1,3,4,8,2,5,4,11,1,2,5,8,2,2 4 8,
Weston 23,0,1,2,3,9,1,0,10,1,2,1,4,1,1 4 6,
Westport 36,2,0,5,7,7,3,3,13,1,1,9,11,4,0 1 5,
Wethersfield 79,6,10,6,22,10,3,5,18,12,6,5,23,7,5 4 16,
Willington 11,0,2,0,2,4,0,1,5,1,0,2,3,0,0 1 1,
Wilton 17,0,1,0,1,3,2,2,7,1,4,1,6,2,0 1 3,
Winchester 32,1,4,2,7,5,2,1,8,2,4,3,9,3,1 4 8,
Windham 74,6,7,5,18,8,4,10,22,2,6,16,24,1,5 4 10,
Windsor 103,0,1,8,9,15,17,15,47,10,5,14,29,2,6 10 18,
Windsor Locks 51,1,4,7,12,6,10,2,18,2,2,3,7,0,2 12 14,
Wolcott 31,4,7,2,13,1,0,7,8,0,0,5,5,2,0 3 5,
Woodbridge 12,3,1,0,4,2,0,1,3,2,0,0,2,3,0 0 3,
Woodbury 21,0,1,1,2,1,1,4,6,4,1,2,7,0,4 2 6,
Woodstock 26,2,2,1,5,1,1,4,6,2,1,4,7,2,2 4 8,
"Totals 12,563",793,1044,1066,2903,1382,1129,989,3500,991,916,1412,3319,813,"727 1,301 2,841",
Lis Penden Filings,,,,,,,,,,,,,Connecticut,,
2011,,,,,,,,,,,,,Sorted by County,,
,,Quarter 1,,,Quarter 2,,,Quarter 3,,,Quarter 4,,,,
,,,,,,,,,,,,,County,,
County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,,,
,,,,,,,,,,,,,Totals,,
Fairfield,218,208,387,450,307,260,338,253,339,295,169,455,3679,,
Hartford,188,226,196,309,275,242,222,219,283,151,156,229,2696,,
Litchfield,39,75,56,73,59,46,39,45,87,38,48,55,660,,
Middlesex,30,54,50,60,64,37,43,37,81,22,29,49,556,,
New Haven,213,321,241,313,319,257,214,215,445,208,234,364,3344,,
New London,48,99,83,103,43,77,61,78,73,69,54,74,862,,
Tolland,24,20,20,28,30,24,28,20,39,10,13,31,287,,
Windham,33,41,33,46,32,46,46,49,65,20,24,44,479,,
Monthly Totals,793,1044,1066,1382,1129,989,991,916,1412,813,727,1301,12563,,
Foreclosure Deed Filings,,,,,,,,,,,,,,,Connecticut
2011,,,,,,,,,,,,,,,Sorted by Municipality
,,,,Total,,,,Total,,,,Total,,,Total
Town Totals,,,,,,,,,,,,,,,
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,Nov,"Dec Quarter 4,"
2011,,,,,,,,,,,,,,,
,,,,2011,,,,2011,,,,2011,,,2011
Andover 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Ansonia 22,3,0,7,10,0,2,0,2,1,0,0,1,0,7,2 9
Ashford 2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0 0
Avon 2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0 0
Barkhamsted 3,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0 1
Beacon Falls 3,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0 2
Berlin 7,0,1,0,1,1,2,0,3,0,1,0,1,1,0,1 2
Bethany 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Bethel 14,1,1,1,3,0,0,2,2,0,1,3,4,1,2,2 5
Bethlehem 2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0 0
Bloomfield 22,1,2,1,4,1,2,3,6,2,1,2,5,3,0,4 7
Bolton 1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0 0
Bozrah 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Branford 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Bridgeport 203,31,6,38,75,21,17,12,50,10,3,5,18,26,7,27 60
Bridgewater 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 1
Bristol 64,3,6,5,14,6,6,2,14,6,7,4,17,6,6,7 19
Brookfield 17,1,1,1,3,2,5,1,8,1,1,1,3,1,1,1 3
Brooklyn 10,0,0,1,1,0,0,1,1,1,0,2,3,2,0,3 5
Burlington 7,1,0,0,1,4,0,0,4,0,0,0,0,0,1,1 2
Canaan 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Canterbury 7,1,0,0,1,0,0,0,0,0,1,0,1,0,3,2 5
Canton 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Chaplin 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 1
Cheshire 15,2,1,0,3,2,0,1,3,0,0,4,4,2,1,2 5
Chester 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Clinton 3,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0 1
Colchester 4,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0 1
Colebrook 2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1 1
Columbia 8,2,0,0,2,2,0,0,2,1,0,0,1,1,0,2 3
Cornwall 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Coventry 14,1,0,0,1,0,0,0,0,0,3,2,5,2,4,2 8
Cromwell 17,3,1,0,4,1,0,2,3,3,1,2,6,3,0,1 4
Danbury 60,2,6,2,10,6,5,1,12,9,3,8,20,1,9,8 18
Darien 3,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0 0
Deep River 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Derby 11,0,2,1,3,2,1,1,4,0,0,0,0,3,0,1 4
Durham 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
East Granby 1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0 0
East Haddam 4,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1 2
Foreclosure Deed Filings,,,,,,,,,,,,,,,Connecticut
2011,,,,,,,,,,,,,,,Sorted by Municipality
,,,,Total,,,,Total,,,,Total,,,Total
Town Totals,,,,,,,,,,,,,,,
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,Nov,"Dec Quarter 4,"
2011,,,,,,,,,,,,,,,
,,,,2011,,,,2011,,,,2011,,,2011
East Hampton 3,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0 0
East Hartford 74,5,10,3,18,6,1,7,14,8,5,10,23,4,2,13 19
East Haven 31,0,3,2,5,0,1,1,2,3,3,4,10,7,5,2 14
East Lyme 7,0,0,1,1,2,2,0,4,0,0,0,0,1,1,0 2
East Windsor 8,0,1,0,1,0,1,1,2,2,0,0,2,2,0,1 3
Eastford 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Easton 2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0 0
Ellington 2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0 0
Enfield 29,0,1,1,2,3,5,4,12,1,2,3,6,3,2,4 9
Essex 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Fairfield 16,1,0,0,1,2,1,3,6,3,0,1,4,0,2,3 5
Farmington 4,0,1,1,2,0,0,0,0,2,0,0,2,0,0,0 0
Franklin 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 1
Glastonbury 24,2,1,2,5,0,3,4,7,4,2,2,8,1,1,2 4
Goshen 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1 2
Granby 10,2,1,0,3,1,2,0,3,1,0,2,3,1,0,0 1
Greenwich 16,0,0,0,0,4,5,0,9,3,2,1,6,1,0,0 1
Griswold 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Groton 27,0,1,5,6,4,1,3,8,4,2,1,7,3,2,1 6
Guilford 6,0,0,0,0,0,2,1,3,1,0,0,1,0,1,1 2
Haddam 1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0 0
Hamden 37,0,0,0,0,1,7,1,9,7,2,3,12,3,4,9 16
Hampton 1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0 0
Hartford 126,10,8,9,27,18,13,7,38,4,9,13,26,8,14,13 35
Hartland 3,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0 1
Harwinton 3,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0 0
Hebron 9,1,0,0,1,0,0,3,3,1,0,2,3,0,1,1 2
Kent 2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0 0
Killingly 32,1,5,1,7,4,1,1,6,6,1,5,12,4,2,1 7
Killingworth 2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0 0
Lebanon 11,1,1,1,3,1,0,0,1,3,1,0,4,0,3,0 3
Ledyard 17,1,2,1,4,0,0,0,0,3,2,0,5,5,1,2 8
Lisbon 3,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0 2
Litchfield 4,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1 1
Lyme 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0
Madison 4,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1 1
Manchester 58,2,7,2,11,6,5,4,15,5,2,3,10,6,7,9 22
Mansfield 10,1,1,0,2,2,2,0,4,1,1,0,2,0,1,1 2
Marlborough 6,0,0,0,0,1,0,0,1,1,0,2,3,1,1,0 2
Meriden 99,3,2,1,6,2,24,12,38,7,10,9,26,11,8,10 29
Foreclosure Deed Filings,,,,,,,,,,,,,,,Connecticut
2011,,,,,,,,,,,,,,,Sorted by Municipality
,,,,Total,,,,Total,,,,Total,,,Total
Town Totals,,,,,,,,,,,,,,,
